IID	PC1	PC2	PC3
Agropyron	1.2000	0.0000	0.3827
Arg	1.0261	0.6496	0.2008
Asano	0.5880	1.0493	-0.0419
CzechRep	0.0000	1.1000	-0.2672
Denmark	-0.5880	0.8493	-0.3827
England	-1.0261	0.3496	-0.3500
France	-1.2000	-0.1500	-0.1827
Hafer	-1.0261	-0.6496	0.0419
Hungary	-0.5880	-1.0493	0.2500
NZ	0.0000	-1.1000	0.3827
Norway	0.5880	-0.8493	0.3500
Olga	1.0261	-0.3496	0.1827
Poae	1.1500	0.2000	-0.0419
Poland	0.8500	0.7000	-0.2500
Q2_3	0.3000	1.0000	-0.3500
Rcc_SD	-0.3000	0.9000	-0.3000
Scotland	-0.8500	0.4000	-0.1000
Switzerland	-1.0000	-0.3000	0.1500
Tritordeum	-0.5000	-0.9000	0.3000
